prodcode,gemscriptcode,productname,drugsubstance,strength,formulation,route,bnfcode,bnfchapter
7948,79604020,Fluticasone propionate 250micrograms/dose dry powder inhaler,Fluticasone propionate,250microgram/1dose,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
8635,74453020,Flixotide 50microgram Disc (Allen & Hanburys Ltd),Fluticasone Propionate,50microgram,Disc,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
9164,75180020,Fluticasone propionate 50micrograms/dose dry powder inhaler,Fluticasone propionate,50microgram/1dose,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
11478,57281020,Fluticasone 2mg/2ml nebuliser liquid unit dose vials,Fluticasone propionate,1mg/1ml,Nebuliser liquid,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
16305,57311020,Flixotide 2mg/2ml Nebules (GlaxoSmithKline UK Ltd),Fluticasone propionate,1mg/1ml,Nebuliser liquid,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
17465,57282020,Fluticasone 500micrograms/2ml nebuliser liquid unit dose vials,Fluticasone propionate,250microgram/1ml,Nebuliser liquid,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
35225,93279020,Flixotide 100microgram disks with Diskhaler (GlaxoSmithKline UK Ltd),Fluticasone propionate,100microgram,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
35374,93299020,Flixotide 500microgram disks (GlaxoSmithKline UK Ltd),Fluticasone propionate,500microgram,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
35392,93297020,Flixotide 500microgram disks with Diskhaler (GlaxoSmithKline UK Ltd),Fluticasone propionate,500microgram,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
35461,93289020,Flixotide 250microgram disks with Diskhaler (GlaxoSmithKline UK Ltd),Fluticasone propionate,250microgram,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
35611,93291020,Flixotide 250microgram disks (GlaxoSmithKline UK Ltd),Fluticasone propionate,250microgram,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
35638,93273020,Fluticasone propionate 100microgram inhalation powder blisters with device,Fluticasone propionate,100microgram,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
35700,93293020,Fluticasone propionate 500microgram inhalation powder blisters with device,Fluticasone propionate,500microgram,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
35772,93275020,Fluticasone propionate 100microgram inhalation powder blisters,Fluticasone propionate,100microgram,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
35905,93287020,Fluticasone propionate 250microgram inhalation powder blisters,Fluticasone propionate,250microgram,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
35986,93265020,Flixotide 50microgram disks (GlaxoSmithKline UK Ltd),Fluticasone propionate,50microgram,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
36021,93257020,Fluticasone propionate 50microgram inhalation powder blisters with device,Fluticasone propionate,50microgram,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
36090,93281020,Flixotide 100microgram disks (GlaxoSmithKline UK Ltd),Fluticasone propionate,100microgram,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
36290,93263020,Flixotide 50microgram disks with Diskhaler (GlaxoSmithKline UK Ltd),Fluticasone propionate,50microgram,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
36401,93285020,Fluticasone propionate 250microgram inhalation powder blisters with device,Fluticasone propionate,250microgram,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
36462,93295020,Fluticasone propionate 500microgram inhalation powder blisters,Fluticasone propionate,500microgram,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
37447,93259020,Fluticasone propionate 50microgram inhalation powder blisters,Fluticasone propionate,50microgram,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
42928,98218020,Flixotide 100micrograms/dose Accuhaler (GlaxoSmithKline UK Ltd),Fluticasone propionate,100microgram/1dose,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
42985,98216020,Flixotide 50micrograms/dose Accuhaler (GlaxoSmithKline UK Ltd),Fluticasone propionate,50microgram/1dose,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
42994,98222020,Flixotide 250micrograms/dose Accuhaler (GlaxoSmithKline UK Ltd),Fluticasone propionate,250microgram/1dose,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
43074,98224020,Flixotide 500micrograms/dose Accuhaler (GlaxoSmithKline UK Ltd),Fluticasone propionate,500microgram/1dose,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
49772,2943020,Fluticasone 250micrograms/dose Evohaler (Sigma Pharmaceuticals Plc),Fluticasone propionate,250microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
51815,2938020,Flixotide 250micrograms/dose Evohaler (Waymade Healthcare Plc),Fluticasone propionate,250microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
53057,2951020,Flixotide 50micrograms/dose Evohaler (Lexon (UK) Ltd),Fluticasone propionate,50microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
56474,2932020,Flixotide 125micrograms/dose Evohaler (DE Pharmaceuticals),Fluticasone propionate,125microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
56475,2895020,Flixotide 50micrograms/dose Accuhaler (Sigma Pharmaceuticals Plc),Fluticasone propionate,50microgram/1dose,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
56477,2898020,Flixotide 100micrograms/dose Accuhaler (Waymade Healthcare Plc),Fluticasone propionate,100microgram/1dose,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
56484,2904020,Flixotide 250micrograms/dose Accuhaler (Waymade Healthcare Plc),Fluticasone propionate,250microgram/1dose,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
56499,2912020,Flixotide 500micrograms/dose Accuhaler (Waymade Healthcare Plc),Fluticasone propionate,500microgram/1dose,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
57525,2909020,Flixotide 250micrograms/dose Accuhaler (Stephar (U.K.) Ltd),Fluticasone propionate,250microgram/1dose,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
57555,2930020,Flixotide 125micrograms/dose Evohaler (Dowelhurst Ltd),Fluticasone propionate,125microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
57579,2897020,Flixotide 50micrograms/dose Accuhaler (DE Pharmaceuticals),Fluticasone propionate,50microgram/1dose,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
67237,2934020,Flixotide 125micrograms/dose Evohaler (Lexon (UK) Ltd),Fluticasone propionate,125microgram/1dose,Pressurised inhalation,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
67253,2896020,Flixotide 50micrograms/dose Accuhaler (Mawdsley-Brooks & Company Ltd),Fluticasone propionate,50microgram/1dose,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
67319,2919020,Flixotide 0.5mg/2ml Nebules (Waymade Healthcare Plc),Fluticasone propionate,250microgram/1ml,Nebuliser liquid,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
71109,2906020,Flixotide 250micrograms/dose Accuhaler (DE Pharmaceuticals),Fluticasone propionate,250microgram/1dose,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
71341,2903020,Flixotide 100micrograms/dose Accuhaler (Necessity Supplies Ltd),Fluticasone propionate,100microgram/1dose,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
71366,2914020,Flixotide 500micrograms/dose Accuhaler (DE Pharmaceuticals),Fluticasone propionate,500microgram/1dose,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
71380,2911020,Flixotide 250micrograms/dose Accuhaler (Necessity Supplies Ltd),Fluticasone propionate,250microgram/1dose,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
72292,2910020,Flixotide 250micrograms/dose Accuhaler (Mawdsley-Brooks & Company Ltd),Fluticasone propionate,250microgram/1dose,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
73691,2900020,Flixotide 100micrograms/dose Accuhaler (DE Pharmaceuticals),Fluticasone propionate,100microgram/1dose,Inhalation powder,Inhalation,3020000,Corticosteroids (For Respiratory Conditions)
74027,2908020,Flixotide 250micrograms/dose Accuhaler (Lexon (UK) Ltd),Fluticasone propionate,250microgram/1dose,Inhalation powder,Inhalation,3020000,Corticosteroids (For Respiratory Conditions)
65596,60894021,Fostair 200micrograms/dose / 6micrograms/dose inhaler (Chiesi Ltd),Formoterol fumarate dihydrate/Beclometasone dipropionate,6microgram + 200microgram,Pressurised inhalation,Inhalation,03010101/03020000,Selective Beta 2 Agonists/Corticosteroids (for Respiratory Conditions)
65758,60893021,Beclometasone 200micrograms/dose / Formoterol 6micrograms/dose inhaler CFC free,Formoterol fumarate dihydrate/Beclometasone dipropionate,6microgram + 200microgram,Pressurised inhalation,Inhalation,03010101/03020000,Selective Beta 2 Agonists/Corticosteroids (for Respiratory Conditions)
7013,81547020,Symbicort 100/6 Turbohaler (AstraZeneca UK Ltd),Formoterol fumarate dihydrate/Budesonide,6microgram/1dose + 100microgram/1dose,Inhalation powder,Inhalation,03010101/03020000,Selective Beta 2 Agonists/Corticosteroids (for Respiratory Conditions)
10218,86175020,Budesonide 100micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler,Formoterol fumarate dihydrate/Budesonide,6microgram/1dose + 100microgram/1dose,Inhalation powder,Inhalation,03010101/03020000,Selective Beta 2 Agonists/Corticosteroids (for Respiratory Conditions)
49114,53020,Symbicort 100/6 Turbohaler (Sigma Pharmaceuticals Plc),Formoterol fumarate dihydrate/Budesonide,6microgram/1dose + 100microgram/1dose,Inhalation powder,Inhalation,03010101/03020000,Selective Beta 2 Agonists/Corticosteroids (for Respiratory Conditions)
50945,54020,Symbicort 100/6 Turbohaler (Mawdsley-Brooks & Company Ltd),Formoterol fumarate dihydrate/Budesonide,6microgram/1dose + 100microgram/1dose,Inhalation powder,Inhalation,03010101/03020000,Selective Beta 2 Agonists/Corticosteroids (for Respiratory Conditions)
71371,50020,Symbicort 100/6 Turbohaler (Waymade Healthcare Plc),Formoterol fumarate dihydrate/Budesonide,6microgram/1dose + 100microgram/1dose,Inhalation powder,Inhalation,03010101/03020000,Selective Beta 2 Agonists/Corticosteroids (for Respiratory Conditions)
72400,78959021,Fobumix Easyhaler 80micrograms/dose / 4.5micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd),Formoterol fumarate dihydrate/Budesonide,6microgram/1dose + 100microgram/1dose,Inhalation powder,Inhalation,03010101/03020000,Selective Beta 2 Agonists/Corticosteroids (for Respiratory Conditions)
70711,78144021,Trimbow 87micrograms/dose / 5micrograms/dose / 9micrograms/dose inhaler (Chiesi Ltd),Formoterol fumarate dihydrate/Glycopyrronium bromide/Beclometasone dipropionate,5microgram/1dose + 9microgram/1dose + 87microgram/1dose,Pressurised inhalation,Inhalation,03010101/03010200/03020000,Selective Beta 2 Agonists/Antimuscarinic Bronchodilators/Corticosteroids (for Respiratory Conditions)
71260,78143021,Generic Trimbow 87micrograms/dose / 5micrograms/dose / 9micrograms/dose inhaler,Formoterol fumarate dihydrate/Glycopyrronium bromide/Beclometasone dipropionate,5microgram/1dose + 9microgram/1dose + 87microgram/1dose,Pressurised inhalation,Inhalation,03010101/03010200/03020000,Selective Beta 2 Agonists/Antimuscarinic Bronchodilators/Corticosteroids (for Respiratory Conditions)
10254,84120020,Mometasone 400micrograms/dose dry powder inhaler,Mometasone furoate,400microgram/1dose,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
16018,80792020,Mometasone 200micrograms/dose dry powder inhaler,Mometasone furoate,200microgram/1dose,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
16433,85228020,Asmanex 200micrograms/dose Twisthaler (Merck Sharp & Dohme Ltd),Mometasone furoate,200microgram/1dose,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
17590,80362020,Asmanex 400micrograms/dose Twisthaler (Merck Sharp & Dohme Ltd),Mometasone furoate,400microgram/1dose,Inhalation powder,Inhalation,3020000,Corticosteroids (for Respiratory Conditions)
1801,53748020,Ventide inhaler (GlaxoSmithKline UK Ltd),Salbutamol/Beclometasone dipropionate,100microgram/1dose + 50microgram/1dose,Pressurised inhalation,Inhalation,0,Unknown
11307,67874020,Salbutamol 100micrograms/dose / Beclometasone 50micrograms/dose inhaler,Salbutamol/Beclometasone dipropionate,100microgram/1dose + 50microgram/1dose,Pressurised inhalation,Inhalation,0,Unknown
